"";"signalPnotm";"signalPtm";"predsi";"phobius"
"1";TRUE;TRUE;FALSE;TRUE
"2";TRUE;TRUE;FALSE;TRUE
"3";TRUE;TRUE;TRUE;TRUE
"4";TRUE;TRUE;TRUE;TRUE
"5";TRUE;TRUE;FALSE;TRUE
"6";TRUE;TRUE;TRUE;TRUE
"7";TRUE;TRUE;FALSE;TRUE
"8";TRUE;TRUE;FALSE;TRUE
"9";TRUE;TRUE;FALSE;TRUE
"10";TRUE;TRUE;FALSE;TRUE
"11";TRUE;TRUE;TRUE;TRUE
"12";TRUE;TRUE;TRUE;TRUE
"13";TRUE;TRUE;TRUE;TRUE
"14";TRUE;TRUE;FALSE;TRUE
"15";TRUE;TRUE;FALSE;TRUE
"16";TRUE;TRUE;FALSE;FALSE
"17";TRUE;FALSE;TRUE;FALSE
"18";FALSE;FALSE;FALSE;FALSE
"19";TRUE;TRUE;FALSE;TRUE
"20";FALSE;FALSE;FALSE;FALSE
"21";TRUE;FALSE;FALSE;FALSE
"22";FALSE;FALSE;FALSE;FALSE
"23";TRUE;TRUE;FALSE;TRUE
"24";TRUE;TRUE;FALSE;TRUE
"25";TRUE;TRUE;TRUE;TRUE
"26";TRUE;FALSE;FALSE;TRUE
"27";TRUE;TRUE;TRUE;TRUE
"28";TRUE;TRUE;TRUE;TRUE
"29";TRUE;TRUE;TRUE;TRUE
"30";TRUE;TRUE;TRUE;TRUE
"31";TRUE;TRUE;FALSE;TRUE
"32";TRUE;TRUE;TRUE;TRUE
"33";TRUE;TRUE;FALSE;TRUE
"34";TRUE;TRUE;FALSE;TRUE
"35";TRUE;TRUE;FALSE;TRUE
"36";TRUE;TRUE;TRUE;TRUE
"37";TRUE;TRUE;TRUE;TRUE
"38";TRUE;TRUE;TRUE;TRUE
"39";TRUE;TRUE;TRUE;TRUE
"40";FALSE;FALSE;FALSE;TRUE
"41";FALSE;FALSE;FALSE;TRUE
"42";TRUE;TRUE;FALSE;FALSE
"43";TRUE;FALSE;TRUE;FALSE
"44";TRUE;FALSE;TRUE;FALSE
"45";FALSE;FALSE;FALSE;FALSE
"46";FALSE;FALSE;FALSE;FALSE
"47";FALSE;FALSE;FALSE;FALSE
"48";FALSE;FALSE;FALSE;FALSE
"49";FALSE;FALSE;FALSE;FALSE
"50";FALSE;FALSE;FALSE;FALSE
"51";FALSE;FALSE;FALSE;FALSE
"52";FALSE;FALSE;FALSE;FALSE
